,reviews,Clean_Review,Sentiment,Analysis
10,"  This has been by far the worst service I have had on a plane. It's very obvious that if you are flying economy and not a frequent traveler of British Airways, they care very little about you. We had to wait an hour for them to even open the check-in. Once they did, they had 5 lines and only one that serviced economy. Even though the line for economy was three times the length of the premium classes. Then they told economy passengers that all bags had to be check and no carryon due to a full flight and no room in the overhead compartments. Once we arrived at the gate, there were not enough seats to fit everyone and you couldn't leave the boarding area. I will never fly this airline again! ","far bad service plane. obvious fly economy frequent traveler british airways, care little you. wait hour even open check-in. did, 5 line one service economy. even though line economy three time length premium classes. told economy passenger bag check carryon due full flight room overhead compartments. arrive gate, enough seat fit everyone leave boarding area. never fly airline again!",0.3164,Neutral
11,"  In Nov 2022 I booked and paid for a return journey to New Zealand. On my return journey my final flight was from London to Edinburgh. On trying to check in I was told my ticket ‘did not exist’. I showed evidence of my flight being booked and paid for but was denied a ticket. My only option was to buy a ticket for a later flight which cost £265.07. Since Nov 22, ie, 8 months ago, I have communicated multiple times with BA in an attempt to have my money returned. They have admitted responsibility for their error which cost me £265. I finally received word from them that they have decided to refund me the sum of £32.14. I have asked for an explanation but have received none, only a polite e mail informing me that the decision was checked and was correct. I do not intend to let this matter go. A company worth billions of pounds will not return an honest refund. PS, they also lost my luggage and did nothing to help me retrieve it. I tracked it down myself a week later to Edinburgh airport and picked it up myself.","nov 2022 book paid return journey new zealand. return journey final flight london edinburgh. try check told ticket ‘did exist’. show evidence flight book paid deny ticket. option buy ticket later flight cost £265.07. since nov 22, ie, 8 month ago, communicate multiple time ba attempt money returned. admit responsibility error cost £265. finally receive word decide refund sum £32.14. ask explanation receive none, polite e mail inform decision checked correct. intend let matter go. company worth billion pound return honest refund. ps, also lose luggage nothing help retrieve it. tracked week later edinburgh airport picked myself.",-0.4512,Negative
12, BA is not treating its premium economy passengers with respect. You pay for a premium economy service and are then compelled to use the economy toilets at the back of the plane. This is short-changing passengers. ,ba treat premium economy passenger respect. pay premium economy service compel use economy toilet back plane. short-changing passengers.,0.6597,Positive
13,"  24 hours before our departure on BA059 to Cape Town from Heathrow on Thursday 29th June, we did an online check-in. Seats had already been allocated for my wife and I - 41 E and F - which are the middle two seats of the central block of four. These were totally unsuitable for us as we are in our late 70's and getting in and out of seats to stretch our legs or go the the toilet would mean climbing over a person on the aisle. But there were no other seats available. We got to Heathrow about 6 hours before departure and tried to change seats at check-in, to no avail, although the lady was very sympathetic and tried her utmost. She did offer us an upgrade to Premium Economy but at 450GBP each it was beyond our affordability. She said we should try again at the departure gate but that also failed. We spoke to a member of the flight crew who was totally unsympathetic. The economy seats are so tiny that I was jammed shoulder to shoulder between by wife and a stranger, with knees touching the seat pocket in front. For 12 hours we suffered. When we did manage to get out of our seat due to the kindness of the young lady next to me on the aisle, it was a mission trying to clamber past the reclined backrest in front of me. BA Economy is absolutely awful. The evening meal was near-inedible - both choices were spicy foods which are not very suitable when flying, especially for an older person. The breakfast Spanish Omelette was, however, not bad at all. The previous day we had flown economy from Malta to Heathrow on Malta Airlines and that 3 hour trip was a pleasure. The seats are wide and there is ample legroom. If they can do it, then why not British Airways.","24 hour departure ba059 cape town heathrow thursday 29th june, online check-in. seats already allocate wife 41 e f middle two seat central block four. totally unsuitable u late 70's get seat stretch leg go toilet would mean climb person aisle. seat available. get heathrow 6 hour departure try change seat check-in, avail, although lady sympathetic try utmost. offer u upgrade premium economy 450gbp beyond affordability. say try departure gate also failed. spoke member flight crew totally unsympathetic. economy seat tiny jammed shoulder shoulder wife stranger, knee touch seat pocket front. 12 hour suffered. manage get seat due kindness young lady next aisle, mission try clamber past recline backrest front me. ba economy absolutely awful. even meal near-inedible choice spicy food suitable flying, especially old person. breakfast spanish omelette was, however, bad all. previous day flown economy malta heathrow malta airlines 3 hour trip pleasure. seat wide ample legroom. it, british airways.",-0.7346,Negative
14,"  We arrived at Heathrow at 0600 to find our flight to Ibiza was cancelled by BA with no explanation. As if that wasn’t galling enough, the customer service from BA at the airport was non-existent! There was no explanation, no apology and no assistance in finding an alternative flight. We’ve managed to find another flight from Stansted but that isn’t until much later today, thus wasting a chunk of our short trip. I simply don’t understand why BA don’t proactively contact their customers to notify them of a cancellation, and work with them to resolve the problem. Shocking customer service!","arrive heathrow 0600 find flight ibiza cancel ba explanation. wasn’t gall enough, customer service ba airport non-existent! explanation, apology assistance find alternative flight. we’ve manage find another flight stansted isn’t much later today, thus waste chunk short trip. simply don’t understand ba don’t proactively contact customer notify cancellation, work resolve problem. shocking customer service!",-0.7896,Negative
15,  Original flight was cancelled with no explanation. There was no representative to help in rebooking We had to call customer service (long distance call) The line kept dropping Had to do 40 + calls to find new booking only to discover the only way I could fly the next day was by paying business class. No help with hotel for the night stay.,original flight cancel explanation. representative help rebooking call customer service (long distance call) line kept drop 40 call find new book discover way could fly next day pay business class. help hotel night stay.,0.4939,Neutral
16,"  Airport check in was functionary with little warmth but some efficiency. Flight was delayed with no communication given. Boarding was chaotic and no management of the process by ground staff. Seats on board are tight and you really feel like they have crammed in every seat possible. There is next to no recline. However I was thankful that there was no recline. If the person in front had even the slightest recline they would be in my face owing to how tight the seats were spaced on this A321 aircraft. No amenities on this flight except for a toilet that was clean but small. No IFE, no food and beverage unless you pay extra but the staff were friendly. Luggage arrived at the carousel within a very short amount of time.","airport check functionary little warmth efficiency. flight delayed communication given. boarding chaotic management process ground staff. seats board tight really feel like crammed every seat possible. next recline. however thankful recline. person front even slightest recline would face owe tight seat space a321 aircraft. amenity flight except toilet clean small. ife, food beverage unless pay extra staff friendly. luggage arrive carousel within short amount time.",0.8958,Positive
17,  Flight fine. In-line with competitors. Pleasant crew. Only niggle is bussed to and from aircraft at Heathrow. It seems like this is standard for the Berlin flights. Would use again.,flight fine. in-line competitors. pleasant crew. niggle buss aircraft heathrow. seem like standard berlin flights. would use again.,0.765,Positive
18,  Came from Glasgow to London and took connecting flight American Airlines from London to North Carolina. It's my third day here in North Carolina and still waiting for my luggage. They didn't even bother to transfer the luggage to connecting flight. Luggage are still in Glasgow. ,came glasgow london take connect flight american airlines london north carolina. third day north carolina still wait luggage. even bother transfer luggage connect flight. luggage still glasgow.,-0.34,Negative
19,"  My flight on on 12 May 2023 got delayed an hour and 25 minutes which resulted in the cancellation of our connection flight on 12 May 2023 as the arrival of the first flight was only 15 before the departure of the second connecting flight. We contacted the BA call center multiple times to make changes to the flight in order to still arrive on the 12th of May to KEF airport through different flights. The team tried to find a solution but none made sense, not even on the next day the 13th of May 2023. We have made full booking of accommodation, car rental, activities etc for the vacation in Iceland. The cancellation of of these booking is not refundable. The call center suggested that we cancel the flight for a full refund, then claim compensation for the delay and difference in airfare cost and other non refundable bookings due to the delay and cancellation of our flight. British Airways responded to the claim after a month with no compensation at all, even though we paid additional $600 on new bookings and additional charges. The refund of the cancelled flight took more than a month with multiple calla to follow up almost every week. I was promised to get refund on the first call but later I found out it was not processed properly. Every-time I call the agent ask questions about why flight was canceled etc which is annoying when my understanding everything was under process for payment. After multiple calls I was refunded partially and not the full amount which is even bizarre from a company of this level. I had to make more calls to get the remaining balance refunded. The whole experience was terrible.","flight 12 may 2023 get delayed hour 25 minute result cancellation connection flight 12 may 2023 arrival first flight 15 departure second connect flight. contact ba call center multiple time make change flight order still arrive 12th may kef airport different flights. team try find solution none make sense, even next day 13th may 2023. make full book accommodation, car rental, activity etc vacation iceland. cancellation book refundable. call center suggest cancel flight full refund, claim compensation delay difference airfare cost non refundable booking due delay cancellation flight. british airways respond claim month compensation all, even though paid additional $600 new booking additional charges. refund cancel flight take month multiple calla follow almost every week. promise get refund first call later found process properly. every-time call agent ask question flight cancel etc annoy understand everything process payment. multiple call refund partially full amount even bizarre company level. make call get remain balance refunded. whole experience terrible.",-0.9389,Negative
20,"  Cairo is a 5 hour flight and BA considers it to be short haul, so everyone is crammed in with knees pressed up against the seat in front and nothing in the way of inflight entertainment. Not even a magazine - which is now available by WiFi that you have to pay for. You have to pay for your seat choice, checked in baggage, food & drink, WiFi. Not that I have anything against that - I'm used to that on budget airlines - but this is for a premium price ticket. I would have preferred to fly on easyJet where the initial ticket would have been less, and the extras would have been half the price. The BA app and website makes it really difficult to understand the extras and we ended up with baggage on the wrong ticket so had to pay extra. And don't get me started on their customer service helpline. On board the staff are ok but on the long Cairo-London route they spend most of their time on a break where they use the back row or two and talk loudly without any consideration for the passengers. And for the flyers who don't want the hassle of charges, minimal cabin service, and budget seats, then they could easily provide a 'premium economy' option  and really make a difference for the experience. Heathrow Terminal 5 compounds the poor experience, especially for arrivals. It is also poorly served by transport links - especially for those of us who live near Gatwick which is being abandoned by BA. I have been a frequent flyer for many years - and was even a BA Gold Card holder at one point - so I know about the potential experience. I used be able to make the choice - do I fly budget, or do I fly more comfortably for more? Now it's a case of flying budget, or flying budget for double the price with BA. ","cairo 5 hour flight ba considers short haul, everyone crammed knee press seat front nothing way inflight entertainment. even magazine available wifi pay for. pay seat choice, checked baggage, food drink, wifi. anything i'm use budget airline premium price ticket. would prefer fly easyjet initial ticket would less, extra would half price. ba app website make really difficult understand extra end baggage wrong ticket pay extra. get start customer service helpline. board staff ok long cairo-london route spend time break use back row two talk loudly without consideration passengers. flyer want hassle charges, minimal cabin service, budget seats, could easily provide 'premium economy' option really make difference experience. heathrow terminal 5 compound poor experience, especially arrivals. also poorly serve transport link especially u live near gatwick abandon ba. frequent flyer many year even ba gold card holder one point know potential experience. use able make choice fly budget, fly comfortably more? case fly budget, fly budget double price ba.",-0.8697,Negative
21,"  After travelling London to Madrid with British Airways, then with Iberia from Madrid to Lima and LATAM to Cuzco, my luggage arrived 7 days after me. When attempting to collect my luggage, mine was the only one not to arrive. I sought help and was informed to make a claim online. When my bag finally arrived 7 days later, the lock had been forced open and everything inside the case searched. Someone emptied my 1st aid kit and toiletries and threw my clothing about, I felt violated. I have been treated appallingly from start to finish. For a month, I have been back and forth to British Airways, yet they stated it is not their fault. ","travel london madrid british airways, iberia madrid lima latam cuzco, luggage arrive 7 day me. attempt collect luggage, mine one arrive. sought help inform make claim online. bag finally arrive 7 day later, lock force open everything inside case searched. someone empty 1st aid kit toiletry threw clothing about, felt violated. treat appallingly start finish. month, back forth british airways, yet state fault.",-0.6705,Negative
22,"  My luggage was mis-tagged in Dallas on my way to Cairo via London. My Luggage arrived at LHR as planned on Saturday 6/24. However, upon arrival due to the luggage being mis-tagged and having the incorrect name on my luggage, it was never sent to Cairo. Its sitting in Terminal 3 in LHR (I have an air tag on my luggage) and British Airways is saying there is nothing they can do about it. I have filed 3 claims, made 13 phone calls, have been hung up on 3x and as simple as it is to solve this problem the workers at BA refuse to solve the problem. ","luggage mis-tagged dallas way cairo via london. luggage arrive lhr plan saturday 6/24. however, upon arrival due luggage mis-tagged incorrect name luggage, never sent cairo. sit terminal 3 lhr (i air tag luggage) british airways say nothing it. file 3 claims, make 13 phone calls, hung 3x simple solve problem worker ba refuse solve problem.",-0.6124,Negative
23,"  The airline lost my luggage and was absolutely awful throughout the entire trip. They gave me no updates, their website sucks, and it was nearly impossible to get someone on the phone. They finally delivered my luggage to my hotel after i had left to go back to the US, 5 days after I told them to ship it back to the US. Now, I’ve been calling everyday begging them to get my bag back to me. They appease me on the phone, tell me they’re fixing it, but nothing changes. The hotel can’t get in touch with them and they haven’t even tried to pick to bag back up. Several times, when I called I got a message saying they were not answering due to too many complaints and calls and to “call back later”. ","airline lose luggage absolutely awful throughout entire trip. give updates, website sucks, nearly impossible get someone phone. finally deliver luggage hotel left go back us, 5 day told ship back us. now, i’ve call everyday beg get bag back me. appease phone, tell they’re fix it, nothing changes. hotel can’t get touch haven’t even try pick bag back up. several times, call get message say answer due many complaint call “call back later”.",-0.8221,Negative
24,"  We booked on the BA website, round trip flights from Seattle to Amman with a stop in London, in Business Class. Our first flight was delayed and then diverted to NYC, and enroute my husband experienced a medical emergency. When we landed in NYC we were taken to a hospital and I stayed in constant contact with the airline agent who had arranged for the ambulance transfer. The same evening we flew back home, confirming cancellation of all remaining flights with the agent at the airport. For the next several weeks, we spoke many times with BA Customer Service, trying to obtain some kind of refund — we were met with contradictory explanations, excuses and an absence of meaningful customer service. We discovered we had been marked as “no-shows” for our flight to Amman and that our return flight was still active. We were unable to cancel the return on the website, despite booking on the website. Our phone calls were never returned, we spent a minimum of 40-60 minutes on hold for every phone call we made, our emails received only canned replies without answers or explanations, we were told it was “not possible” to receive a copy of the ticketing rules and regulations nor to speak with a supervisor, and after several weeks of this abysmal customer service I filed a complaint with the FAA. In response to my complaint I received an email from BA Customer Service explaining that they had reviewed my many requests for a “full refund” but that could not be accommodated due to the ticketing rules. They would issue flight credits - except for the portion for which we no-showed. They did not state how many credits. We never once asked for a full refund - we asked to read the rules and to receive a partial refund. We will not use the credits - we were fully refunded by our travel insurance.","book ba website, round trip flight seattle amman stop london, business class. first flight delayed divert nyc, enroute husband experienced medical emergency. land nyc take hospital stayed constant contact airline agent arrange ambulance transfer. even flew back home, confirm cancellation remain flight agent airport. next several weeks, spoke many time ba customer service, try obtain kind refund — met contradictory explanations, excuse absence meaningful customer service. discover marked “no-shows” flight amman return flight still active. unable cancel return website, despite book website. phone call never returned, spent minimum 40-60 minute hold every phone call made, email receive can reply without answer explanations, told “not possible” receive copy ticket rule regulation speak supervisor, several week abysmal customer service file complaint faa. response complaint receive email ba customer service explain review many request “full refund” could accommodate due ticket rules. would issue flight credit except portion no-showed. state many credits. never ask full refund ask read rule receive partial refund. use credit fully refund travel insurance.",0.4404,Neutral
25,"  First time flying with BA business class, never again. There are no boarding drinks provided. My meal quality was below business class standards as was the quality of the wine. On arrival at Bodrum my bags were among the last to appear. Not looking forward to the same chaos on the return flight. ","first time fly ba business class, never again. boarding drink provided. meal quality business class standard quality wine. arrival bodrum bag among last appear. look forward chaos return flight.",-0.5719,Negative
26," You can buy sandwiches and crisps but don't expect a hot meal. Because the plane is a narrow body , there are no screens. Not helping matters is the fact that the BA prebooking shop for food didn't recognise the flight number, and the onboard  WiFi didn't work. ","buy sandwich crisp expect hot meal. plane narrow body screens. help matter fact ba prebooking shop food recognise flight number, onboard wifi work.",0.4767,Neutral
27,"  This is a two-for-one review covering economy and business class on the BA flight from London City to Ibiza. Economy was excellent. A very light lunch (small cheese-and-pastrami sandwich, chocolate brownie) followed by a pretty much free-flowing drinks trolley. The flight was full but the crew worked hard and did a very good job. This is a flight I would recommend. Except, don't fall for the last minute offer for an upgrade to business for £100+ in each direction, as I did. (I flew economy out and business back, while my brother flew business, then economy.) The business seats are identical to economy, with no seats blocked, so you are squished in four abreast. The meals are almost identical, with minor tweaks such as a yoghurt for your £100. The only real plus is Champagne. But on my flight, there was none because of ""supply issues"". The cabin attendant (I think his name was Tom) must be one of the best in the business. I didn't eat, so I paid £100 for nothing. Oh well. So great flight but stick with economy.","two-for-one review cover economy business class ba flight london city ibiza. economy excellent. light lunch (small cheese-and-pastrami sandwich, chocolate brownie) follow pretty much free-flowing drink trolley. flight full crew work hard good job. flight would recommend. except, fall last minute offer upgrade business £100+ direction, did. (i flew economy business back, brother flew business, economy.) business seat identical economy, seat blocked, squish four abreast. meal almost identical, minor tweak yoghurt £100. real plus champagne. flight, none ""supply issues"". cabin attendant (i think name tom) must one best business. eat, paid £100 nothing. oh well. great flight stick economy.",0.902,Positive
28," Absolutely horrible airline. Communication is terrible. Last minute delays, cancellations, seat changes with no communication. App and website user experience is years behind other airlines. Seats are cramped and uncomfortable. Overpriced. Would not fly again.","absolutely horrible airline. communication terrible. last minute delays, cancellations, seat change communication. app website user experience year behind airlines. seats cramped uncomfortable. overpriced. would fly again.",-0.8588,Negative
29,"  Having experienced delays and cancellations departing from USA to Europe and now a 3.5 hour estimated delay at LHR heading back to USA, I would warn travelers that BA has become unreliable and is now on my “Do Not Fly” list until they get better organized. ","experienced delay cancellation depart usa europe 3.5 hour estimate delay lhr head back usa, would warn traveler ba become unreliable “do fly” list get well organized.",-0.4404,Negative
30," Travelled to Heathrow to Kalamata and return journey 11 days later. World Traveller (aka Economy) Class. Both flights departed on time. Return flight landed early - BUT - we then had a 1 1/4 hour wait for the baggage to be offloaded which rather ruined the journey home as we then caught a motorway closure. Flights OK - FA's (particularly on return flight) pleasant enough. But, as usual, Economy class seating was truly dreadful - no legroom at all. No better in Club class either - only the middle seat left free. Marked down because of this. Can only recommend if you are not tall.","travelled heathrow kalamata return journey 11 day later. world traveller (aka economy) class. flight depart time. return flight land early 1 1/4 hour wait baggage offload rather ruin journey home caught motorway closure. flights ok fa's (particularly return flight) pleasant enough. but, usual, economy class seat truly dreadful legroom all. well club class either middle seat left free. marked this. recommend tall.",0.8964,Positive
31,  This flight failed at every level. We were delayed and arrived at our destination late so that our prepaid car transfer phoned to advise us that he could only wait another 10 minutes for us but this was a BA holiday. We pre ordered food for our flight and this was never loaded onto our flight and to finally compound British Airways complete and utter uselessness our luggage was still in Heathrow. As there is no flight tomorrow the earliest this luggage could possible arrive is very late on Wednesday evening. Having only the clothes that you flew in and reading you can only claim for toiletries and underwear seems to be the antithesis of a happy holiday. I might have expected a complimentary scone in lieu of no food but no we were told that we could purchase from the trolley what they had available. I would like to make it clear that we are British airways bronze level holders which as we have been long retired shows how we have used this airline historically.,flight fail every level. delayed arrive destination late prepaid car transfer phone advise u could wait another 10 minute u ba holiday. pre order food flight never load onto flight finally compound british airways complete utter uselessness luggage still heathrow. flight tomorrow early luggage could possible arrive late wednesday evening. clothes flew reading claim toiletry underwear seem antithesis happy holiday. might expect complimentary scone lieu food told could purchase trolley available. would like make clear british airway bronze level holder long retire show use airline historically.,0.8319,Positive
